epoch,training ppl,validation ppl
1,611.1552851886654,349.7837654371522
2,232.24193036328606,201.71770136474967
3,138.58277362391817,155.49686437265927
4,110.7556440037165,144.2711855617717
5,93.97485159342081,130.7683553949738
6,81.34186328733443,122.73768838542966
7,70.96394230071441,120.68413124446826
8,61.98906350679114,125.03797113611638
9,45.79873901961375,120.20942409364112
10,40.459707948865976,124.51006562277831
11,36.117713405147654,123.33267681159839
12,34.67028420102632,122.58524818995696
13,34.18552629377078,122.38769009408024
14,34.0327806633676,122.35214610385786
15,33.99406032223568,122.34407282802921
16,33.984377662600515,122.34210591662116
17,33.98195161551772,122.34160332369899
18,33.98134105966198,122.34150285730973
19,33.981188179359705,122.34150103914936
20,33.98115520526703,122.34149755867111
21,33.98115115439791,122.34149210419022
22,33.98115172151955,122.34149392235045
23,33.98115172151955,122.34149937683141
24,33.98115188355431,122.34149210419022
25,33.9811515594848,122.34149392235045
26,33.98115188355431,122.34149210419022
27,33.9811515594848,122.34149210419022
28,33.9811515594848,122.34149210419022
29,33.9811515594848,122.34149210419022
30,33.9811515594848,122.34149210419022
31,33.9811515594848,122.34149210419022
32,33.9811515594848,122.34149210419022
33,33.9811515594848,122.34149210419022
34,33.9811515594848,122.34149210419022
35,33.9811515594848,122.34149210419022
36,33.9811515594848,122.34149210419022
37,33.9811515594848,122.34149210419022
38,33.9811515594848,122.34149210419022
39,33.9811515594848,122.34149210419022
40,33.9811515594848,122.34149210419022
